,Number of N,Number of G,Number of Undecided,Number of Cells,Maximum distance to centre,Organoid Volume,Total N,Total G,Total N+G
0,265,119,309,693,221.76727830228475,13651876.440737465,18.142806894385927,24.339395056765998,42.48220195115192
1,251,33,403,687,226.0797700201574,14073881.99363269,15.168914926097964,17.82664329313514,32.995558219233104
2,279,113,244,636,187.62517360002082,12468887.28450758,21.270116432623553,26.49809540689209,47.768211839515644
3,315,178,153,646,176.8268969422489,12072273.634264752,20.161069690852575,24.49075321804311,44.65182290889568
4,323,106,250,679,173.13925134184802,12971402.106145374,22.4964461709624,22.598113092432563,45.09455926339496
5,161,67,137,365,146.00858425852726,6616396.053811435,16.85622521398172,50.46553439173793,67.32175960571965
6,291,67,1393,1751,226.29455536296393,28816954.172479123,35.46669891211683,72.53853579636112,108.00523470847796
7,84,138,312,534,173.7705728690899,8985686.733438982,8.25569548072596,41.82420375370641,50.079899234432375
8,84,118,269,471,178.71770804009665,8669724.005570123,8.867592686725422,40.39248430039433,49.26007698711975
9,97,91,232,420,190.8868166424343,8250185.578718423,7.977277586122812,31.328054541547072,39.305332127669885
10,199,0,153,352,149.6371032495204,5889292.056806621,8.65383475353467,7.550922278595503,16.20475703213017
11,186,0,666,852,225.31512472108778,17920625.866749488,10.713005850467546,10.532715163109406,21.245721013576954
12,297,38,328,663,197.06991411000965,12424988.678078223,12.53268662424727,14.914489022904863,27.447175647152136
13,579,608,344,1531,214.6430864798702,23184875.46379061,39.13023355630394,120.38825601083154,159.51848956713548
14,537,673,264,1474,219.6229240892434,26931090.747238997,43.78223759189082,108.66772101398739,152.4499586058782
15,193,420,406,1019,254.5285627062937,20106745.096724622,13.869716109631046,59.42038456757528,73.29010067720633
16,270,671,538,1479,240.88064511553492,33023651.87571823,18.44831526242674,109.50022642955439,127.94854169198112
17,405,616,571,1592,237.412205988127,30628950.488785792,25.18972668055784,90.99109027264457,116.18081695320241
18,409,593,431,1433,226.37306441536344,26878611.981800377,27.123428710992904,95.55308207868744,122.67651078968035
19,381,626,403,1410,226.78921371335892,25404759.61157912,23.807687403562962,93.34915552498526,117.15684292854823
20,309,666,355,1330,204.62288636973412,23411162.785642844,22.199239781250686,83.3351282778079,105.53436805905858
21,364,647,640,1651,264.36081161237246,31029344.928701445,24.59440963071463,93.41421605304866,118.00862568376328
22,253,592,187,1032,199.53114060471336,16570525.583543586,19.51116169973543,121.59372733122933,141.10488903096476
23,267,26,180,473,231.28058451799834,9018309.104721535,21.53768433145837,22.93875658644947,44.47644091790784
24,236,41,67,344,192.9573779551655,6099328.396869104,15.549025541214805,24.136275516646815,39.68530105786162
25,268,31,97,396,151.01273429226575,6479511.141698663,17.050871937962068,27.5251133809931,44.57598531895517
26,247,18,63,328,146.92159915634952,4912882.296656393,17.760858299070776,23.76752169830064,41.52837999737142
27,314,5,227,546,229.51546750001663,9005984.962974528,25.996529627800843,26.230819625223013,52.22734925302386
28,700,81,82,863,218.29079276211854,13984041.895595348,38.28894850349151,21.72502026859497,60.013968772086486
29,1136,108,181,1425,221.2722142519011,23123558.629275106,52.704644717470984,35.383346685845254,88.08799140331624
30,428,91,174,693,173.009401036743,11576586.408877136,19.587802230126563,16.027133143176005,35.61493537330257
31,703,170,260,1133,186.45931660163913,18576554.99485843,33.66421692691319,37.169677292856214,70.8338942197694
32,630,121,111,862,178.47015529611605,14854738.978175575,30.84588706768747,26.848466860547852,57.69435392823532
33,655,133,546,1334,227.20159797979093,24567915.64750726,29.520475645163103,24.68762300155689,54.20809864671999
34,119,461,62,642,154.0112049538324,9325607.808300523,11.784218220965672,101.83428158139914,113.61849980236481
35,57,631,183,871,254.36463779425074,16848143.44198871,8.654481994123612,90.12222909220849,98.7767110863321
36,128,460,119,707,171.86113269355866,11693509.732680844,12.65876366662318,105.89306153190735,118.55182519853054
37,97,362,94,553,201.37294280455558,9092742.99831924,10.031401384275204,94.7858108350725,104.8172122193477
38,250,495,190,935,232.46745998308865,14537807.307438891,22.743566011737176,142.65579265770268,165.39935866943986
39,270,558,173,1001,188.06795475740816,14643058.663889319,23.665773940048478,154.57134031616317,178.23711425621164
40,201,494,98,793,204.85471067555275,13229246.905538738,13.814799379021427,91.01838935138244,104.83318873040386
41,162,381,132,675,170.48104483358358,10696005.563670084,12.809108121818124,89.46962655751204,102.27873467933017
42,153,505,129,787,172.2734432834824,12219124.79514644,15.096996202024302,84.49572365744768,99.59271985947198
43,57,240,62,359,171.91761365965664,5581405.38249183,4.861380003563999,60.299336429591534,65.16071643315553
44,33,212,52,297,147.11135162399333,4288142.763217891,5.514209956797636,70.27917451305926,75.7933844698569
45,101,207,49,357,159.54855054764457,4991862.907598982,5.0741896108547655,35.86808679868638,40.942276409541144
46,350,458,154,962,179.79141310688456,14477709.825694725,27.531885329604805,110.81720988486103,138.34909521446582
47,268,681,144,1093,194.8656861713857,16873433.077331644,20.268635514179095,116.40935299959834,136.67798851377745
48,243,493,241,977,196.94803396429162,15405548.617272954,17.82573460632001,100.92440620906896,118.75014081538897
49,239,472,101,812,166.34074685015563,11152746.16376684,16.735396652390534,76.68930927473255,93.42470592712309
50,297,500,158,955,183.76692518059744,15003149.616169967,20.845682089396288,95.32406920166807,116.16975129106436
51,474,290,220,984,191.1293203153258,14511691.094788985,35.4811618376149,82.60790969238909,118.08907153000399
52,326,279,146,751,177.93677393448857,10203417.198154762,26.591584481335374,70.59992394421386,97.19150842554923
53,244,306,113,663,158.99202289342867,9564664.518264085,16.98902706866265,81.96586741962454,98.9548944882872
54,160,157,126,443,179.1539352595576,7413038.600577744,12.379403803116734,44.94768682892783,57.32709063204456
55,90,211,85,386,155.575511882971,5982724.670326622,7.008191068815846,48.07168860476911,55.079879673584955
56,122,179,143,444,152.45508254539897,5788630.262069946,14.93127145215105,69.18600977575447,84.11728122790552
57,71,151,82,304,131.358425192041,4248695.721756961,5.228187739500799,37.20965490148259,42.43784264098338
58,72,194,83,349,161.472822879945,5119354.418624057,5.5028742704994125,50.28188446920996,55.784758739709375
59,87,167,89,343,141.2319131389782,4602979.130063357,8.34787997174051,61.254905559024536,69.60278553076505
60,411,273,300,984,192.04814251073972,15499777.109762428,19.02487235443326,62.2006917765094,81.22556413094266
61,546,276,229,1051,200.05644254602103,16753385.355494326,29.638991071822357,75.90967121224017,105.54866228406253
62,315,330,345,990,213.80443977969165,14637684.198684564,18.83975976394614,79.23232784350667,98.0720876074528
63,486,300,292,1078,196.84131928763972,17160729.3575152,32.94872619796277,113.04641742758015,145.99514362554294
64,431,166,198,795,281.1068839690462,13984354.178035023,21.673386466214613,52.81940199142489,74.4927884576395
65,373,338,241,952,187.858920264656,16193633.304095864,20.72854502958454,83.6736436414534,104.40218867103793
66,218,339,321,878,194.19338148572928,13595780.082921902,12.495215439087467,51.20473009944936,63.699945538536824
67,237,260,334,831,192.79676768009455,14404730.814700587,12.45882228807987,55.714170358650705,68.17299264673058
68,143,89,108,340,164.4189861277296,5859478.993567301,7.140060719981622,38.86199939955528,46.0020601195369
69,103,81,65,249,132.71607984808102,3626827.667554178,6.139046614814931,29.437655899139354,35.57670251395429
70,127,81,98,306,141.11317924603276,4823754.793742049,5.4104087688809885,20.98444409115777,26.394852860038757
71,117,105,209,431,168.27940111239258,7310736.333103756,6.333206239153624,35.71727172300933,42.05047796216296
72,176,112,104,392,179.78577614048785,5874766.356578295,10.430654616311509,39.11176537613364,49.54241999244515
73,136,91,110,337,160.6221997277208,4750775.927838076,7.725515717116505,34.31443907840903,42.03995479552554
74,147,72,83,302,189.7148649811984,4610772.470433229,8.613821020479595,32.2984704333426,40.91229145382219
75,145,71,79,295,140.75117125183996,3783126.963165523,8.533262555175737,30.407692924287684,38.94095547946342
